Label (Grouping),"Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error"
HOUSING OCCUPANCY,,,,
Total housing units,"1,130,658",±363,"1,130,658",(X)
Occupied housing units,"1,066,286","±2,681",94.30%,±0.2
Vacant housing units,"64,372","±2,608",5.70%,±0.2
Homeowner vacancy rate,0.8,±0.1,(X),(X)
Rental vacancy rate,4.2,±0.4,(X),(X)
UNITS IN STRUCTURE,,,,
Total housing units,"1,130,658",±363,"1,130,658",(X)
"1-unit, detached","563,377","±3,337",49.80%,±0.3
"1-unit, attached","144,711","±2,952",12.80%,±0.3
2 units,"19,759","±1,188",1.70%,±0.1
3 or 4 units,"76,807","±2,232",6.80%,±0.2
5 to 9 units,"70,112","±2,289",6.20%,±0.2
10 to 19 units,"55,007","±2,199",4.90%,±0.2
20 or more units,"170,360","±3,152",15.10%,±0.3
Mobile home,"29,954","±1,074",2.60%,±0.1
"Boat, RV, van, etc.",571,±189,0.10%,±0.1
YEAR STRUCTURE BUILT,,,,
Total housing units,"1,130,658",±363,"1,130,658",(X)
Built 2020 or later,"5,136",±669,0.50%,±0.1
Built 2010 to 2019,"82,550","±2,177",7.30%,±0.2
Built 2000 to 2009,"92,208","±2,511",8.20%,±0.2
Built 1990 to 1999,"127,963","±2,526",11.30%,±0.2
Built 1980 to 1989,"164,967","±2,642",14.60%,±0.2
Built 1970 to 1979,"257,520","±3,540",22.80%,±0.3
Built 1960 to 1969,"207,009","±2,845",18.30%,±0.3
Built 1950 to 1959,"142,794","±2,424",12.60%,±0.2
Built 1940 to 1949,"22,651","±1,051",2.00%,±0.1
Built 1939 or earlier,"27,860","±1,361",2.50%,±0.1
ROOMS,,,,
Total housing units,"1,130,658",±363,"1,130,658",(X)
1 room,"35,728","±1,498",3.20%,±0.1
2 rooms,"42,890","±1,635",3.80%,±0.1
3 rooms,"139,370","±2,679",12.30%,±0.2
4 rooms,"230,656","±3,524",20.40%,±0.3
5 rooms,"195,095","±3,434",17.30%,±0.3
6 rooms,"183,421","±3,216",16.20%,±0.3
7 rooms,"120,655","±2,682",10.70%,±0.2
